title                   ,description                                                                                                                                  ,price ,count
IPhone 9                ,"Designed with longevity in mind, IPhone 9 features enhanced durability, ample storage, and the intuitive iOS 13 for a seamless user experience.",  256 ,   14
IPhone X                ,"IPhone X sets the standard with its stunning display and robust performance, wrapped in a sleek and modern glass and metal design.",               381 ,    7
Oppo A53                ,"Meet the stylish Oppo A53, with its smooth 90Hz display and powerful battery, tailor-made for entertainment and productivity on the go.",          201 ,   15
Apple iPhone 14         ,"Crafted for excellence, the iPhone 14 combines a high-grade aluminum body with advanced features for a top-tier smartphone experience.",            1087 ,   3
Realme 9 Pro+           ,"Unleash superior mobile photography and vibrant display technology with the Realme 9 Pro+, a solid choice for tech-savvy users.",                  368 ,   22
Google Pixel 6a         ,"Discover the smart and sustainable Google Pixel 6a, equipped with Google's innovative AI, an impressive camera, and an all-day battery.",           449 ,   10
Samsung Galaxy S21      ,"The Samsung Galaxy S21 offers an immersive display, pro-grade camera, and powerful performance that adapts to your lifestyle.",                    799 ,    8
OnePlus Nord N200       ,"OnePlus Nord N200 brings flagship features to a wider audience with its robust performance and smooth display at an affordable price point.",        239 ,   12
Motorola Moto G Power   ,"Motorola Moto G Power stands out with its marathon battery life, solid specs, and a price that won't break the bank.",                               220 ,   20
Sony Xperia 1 III       ,"Sony Xperia 1 III offers a cinematic viewing experience, professional-grade photography, and exceptional audio in a sophisticated package.",         998 ,    5
Nokia 7.2               ,"Rediscover the classic Nokia reliability with the modern Nokia 7.2, featuring a robust design and a camera built for creativity.",                 349 ,   16
Xiaomi Mi 11 Lite       ,"The Xiaomi Mi 11 Lite combines an ultra-slim profile with a high-res camera and a vibrant display, perfect for the style-conscious.",              299 ,   19
Asus ROG Phone 5        ,"Asus ROG Phone 5 takes mobile gaming to the next level with its cutting-edge hardware, responsive controls, and gamer-centric design.",              899 ,    4
LG Velvet               ,"The LG Velvet stands out with its sleek, waterdrop-inspired design, versatile camera system, and a 5G-ready chipset for the future.",                599 ,   11
TCL 20 Pro 5G           ,"TCL 20 Pro 5G delivers a balanced performance with a striking display, efficient processing, and next-gen connectivity.",                             499 ,    9